,415_p14
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.07508063572567814
55,0.26994503383424373
56,0.4526571347511297
57,0.6235799416282977
58,0.7830764576158911
59,0.9315096858656466
60,1.0692426295277069
61,1.1966382917533525
62,1.3140596756929546
63,1.4218697844980221
64,1.5204316213189246
65,1.610108189306717
66,1.6912624916119967
67,1.764257531386499
68,1.829456311779913
69,1.8872218359439745
70,1.9379171070285992
71,1.9819051281862052
72,2.019548902565799
73,2.0512114333197977
74,2.0772557235983458
75,2.098044776552496
76,2.1139415953326197
77,2.125309183090225
78,2.1325105429759095
79,2.1359086781405
80,2.1358665917352764
81,2.132746798989915
82,2.1268397475096927
83,2.1182882980594337
84,2.1072172402880285
85,2.0937513638402723
86,2.0780154583646
87,2.060134313505809
88,2.040232718911651
89,2.0184354642282867
90,1.9948673391025593
91,1.9696531331815388
92,1.9429176361113862
93,1.9147856375389443
94,1.8853819271103738
95,1.8548312944729726
96,1.8232585292733563
97,1.7907884211579126
98,1.7575457597730302
99,1.7236553347662336
100,1.689241935783684
101,1.6544303524715422
102,1.61934537447756
103,1.5841117914469898
104,1.5488543930275829
105,1.5136979688658418
106,1.4787673086082682
107,1.4441872019013637
108,1.4100824383918578
109,1.3765756656464352
110,1.3437300785901216
111,1.3115431420211496
112,1.2800089191950466
113,1.2491214733660894
114,1.2188748677892374
115,1.1892631657189945
116,1.160280430410661
117,1.1319207251187415
118,1.1041781130978539
119,1.0770466576028435
120,1.0505204218884419
121,1.024593469209495
122,0.9992598628209612
123,0.9745136659772318
124,0.9503489419332656
125,0.9267597539439081
126,0.9037401652640045
127,0.8812842391479454
128,0.8593860388506902
129,0.8380396276273117
130,0.8172390687319728
131,0.7969784254200878
132,0.777251760946047
133,0.7580531385648097
134,0.7393766215309936
135,0.7212162730993308
136,0.703566156524553
137,0.6864213609173957
138,0.6697878559280097
139,0.6536781645809269
140,0.638104899960811
141,0.623080675153008
142,0.6086181032427502
143,0.5947297973149288
144,0.5814283704550034
145,0.5687264357479789
146,0.5566366062790875
147,0.5451714951334479
148,0.5343437153961785
149,0.5241658801525118
150,0.5146506024874524
151,0.505810495486176
152,0.4976581722340283
153,0.49020624581601435
154,0.4834673293175369
155,0.4774540358233734
156,0.4721789784190973
157,0.46765477018931545
158,0.4638940242197718
159,0.46090935359524376
160,0.4587133714009637
161,0.45731869072222064
162,0.45673792464407637
163,0.4569836862516494
164,0.4580685886300584
165,0.45999529956827967
166,0.46271634022969277
167,0.46616846203721973
168,0.4702884106580454
169,0.475012931759923
170,0.48027877100992367
171,0.4860226740755733
172,0.4921813866242841
173,0.49869165432341145
174,0.5054902228403106
175,0.5125138378424507
176,0.5196992449970734
177,0.5269831899717614
178,0.5343024184337564
179,0.5415936760504705
180,0.548793708489316
181,0.5558392614177619
182,0.5626670805031067
183,0.5692139114127626
184,0.5754164998140849
185,0.581211591374486
186,0.5865359317614347
187,0.5913262666422296
188,0.5955193416842262
189,0.5990519025548933
190,0.6018606949217
191,0.6038824644518028
192,0.6050540363521604
193,0.6053454733466053
194,0.6048113487470372
195,0.6035194692291581
196,0.601537641468755
197,0.5989336721415013
198,0.5957753679231272
199,0.5921305354893915
200,0.588066981515996
201,0.5836525126786709
202,0.5789549356530612
203,0.5740420571150393
204,0.5689816837402217
205,0.5638416222043672
206,0.5586896791832627
207,0.5535936613525534
208,0.5486213753879978
209,0.5438406279653263
210,0.5393192257602122
211,0.535124975448471
212,0.5313256837057194
213,0.5279891572078013
214,0.5251832026303331
215,0.5229756266491306
216,0.5214342359398954
217,0.5206268371782725
218,0.520621237040106
219,0.5214852422010976
220,0.5232856828767067
221,0.5260477373988293
222,0.5297402384430852
223,0.5343280191043389
224,0.5397759124775829
225,0.5460487516576817
226,0.5531113697396277
227,0.5609285998182996
228,0.5694652749886044
229,0.5786862283455063
230,0.5885562929838839
231,0.5990403019987012
232,0.6101030884848511
233,0.6217094855372975
234,0.6338243262508909
235,0.646412443720652
236,0.6594386710413884
237,0.6728678413081353
238,0.6866647876157286
239,0.7007943430591324
240,0.7152213407332679
241,0.7299106137330424
242,0.7448269951534199
243,0.7599353180892505
244,0.7752004156355126
245,0.790587120887106
246,0.8060602669389807
247,0.8215846868860295
248,0.837128376596449
249,0.8527038887422362
250,0.8683567133138679
251,0.8841331124632417
252,0.9000793483422198
253,0.9162416831027143
254,0.9326663788966298
255,0.9493996978758501
256,0.9664879021922799
257,0.9839772539978098
258,1.0019140154443447
259,1.0203444486837538
260,1.0393148158679635
261,1.05887137914885
262,1.0790604006783324
263,1.09992814260828
264,1.1215208670905978
265,1.1438848362771834
266,1.1670663123199203
267,1.191111557370724
268,1.2160668335814746
269,1.241978403104084
270,1.268892528090432
271,1.2968554706924236
272,1.3259134930619494
273,1.3561128573509036
274,1.3874998257111804
275,1.4201206602946916
276,1.4540032920585757
277,1.489058585727661
278,1.5251513645662085
279,1.5621463416585
280,1.5999082300888032
281,1.6383017429414037
282,1.6771915933005763
283,1.7164424942506011
284,1.755919158875753
285,1.7954863002603139
286,1.835008631488562
287,1.8743508656447707
288,1.9133777158132217
289,1.9519538950781845
290,1.9899441165239535
291,2.027213093234793
292,2.0636255382949846
293,2.099046164788809
294,2.133339685800544
295,2.166370814414468
296,2.19800426371485
297,2.22810474678598
298,2.256536976712126
299,2.283165666577572
300,2.3078555294665968
301,2.3304712784634756
302,2.350877626652485
303,2.368939307610134
304,2.38457720361627
305,2.39789074572891
306,2.409014775575196
307,2.418084134782266
308,2.425233664977258
309,2.4305982077873067
310,2.4343126048395525
311,2.436511697761134
312,2.437330328179186
313,2.4369033377208478
314,2.4353655680132564
315,2.43285186068355
316,2.429497057358867
317,2.4254359996663437
318,2.420803529233118
319,2.4157344876863305
320,2.410363716653115
321,2.40482605776061
322,2.399256352635954
323,2.3937894429062867
324,2.3885601701987413
325,2.3837033761404594
326,2.3793539023585772
327,2.3756465904802324
328,2.372716282132562
329,2.3706978189427055
330,2.3697260425377995
331,2.3699346053772707
332,2.3713706293887657
333,2.3739375701757526
334,2.3775253379782293
335,2.3820238430361984
336,2.387322995589658
337,2.393312705878608
338,2.3998828841430493
339,2.4069234406229816
340,2.414324285558404
341,2.4219753291893173
342,2.4297664817557205
343,2.4375876534976153
344,2.4453287546549993
345,2.4528796954678738
346,2.460130386176238
347,2.466970737020093
348,2.4732906582394367
349,2.4789800600742717
350,2.483928852764595
351,2.488026946550409
352,2.491164251671712
353,2.493230678368504
354,2.4941161368807867
355,2.4937105374485573
356,2.4919037903118175
357,2.4885858057105668
358,2.4836464938848053
359,2.476981556009591
360,2.4685985950604814
361,2.458606428752619
362,2.447117521570746
363,2.434244337999607
364,2.420099342523944
365,2.4047949996285003
366,2.388443773798018
367,2.3711581295172417
368,2.353050531270913
369,2.3342334435437753
370,2.3148193308205713
371,2.2949206575860446
372,2.2746498883249373
373,2.2541194875219936
374,2.2334419196619555
375,2.2127296492295665
376,2.1920951407095686
377,2.1716508585867063
378,2.151509267345721
379,2.1317828314713565
380,2.112584015448356
381,2.0940252837614617
382,2.0762191008954174
383,2.0592779313349654
384,2.0433142395648494
385,2.0284404900698116
386,2.0147691473345954
387,2.0024037783242448
388,1.9913752839604228
389,1.981679081856234
390,1.9733103493917499
391,1.9662642639470431
392,1.9605360029021857
393,1.9561207436372496
394,1.9530136635323074
395,1.951209939967431
396,1.9507047503226924
397,1.9514932719781644
398,1.9535706823139185
399,1.956932158710027
400,1.9615728785465625
401,1.9674880192035968
402,1.974672758061202
403,1.9831222724994506
404,1.9928317398984143
405,2.003796337638166
406,2.016011243098777
407,2.0294716336603202
408,2.044172686702867
409,2.0601095796064905
410,2.0772774897512623
411,2.0956715945172544
412,2.1152870712845395
413,2.1361190974331894
414,2.1581628503432766
